date,hometeam,awayteam,fthg,ftag,hs,as,hst,ast,hc,ac,match_result,result_numeric,goal_difference,total_goals,season,league,Date_x,home_form_5,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_gd_5,home_win_streak,home_unbeaten_streak,Date_y,away_form_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_gd_5,away_win_streak,away_unbeaten_streak,form_diff,gd_diff,win_streak_diff,form_ratio,gd_ratio,home_advantage_form,momentum_indicator
2018-08-24,Bayern Munich,Hoffenheim,3,1,16.0,8.0,5.0,5.0,7.0,2.0,H,1,2,4,2019,Bundesliga 2018 ,2018-08-24,0.0,0.0,0.0,0.0,0,0,2018-08-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-25,Fortuna Dusseldorf,Augsburg,1,2,9.0,14.0,5.0,7.0,7.0,5.0,A,2,-1,3,2019,Bundesliga 2018 ,2018-08-25,0.0,0.0,0.0,0.0,0,0,2018-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-25,Freiburg,Ein Frankfurt,0,2,22.0,10.0,6.0,2.0,6.0,4.0,A,2,-2,2,2019,Bundesliga 2018 ,2018-08-25,0.0,0.0,0.0,0.0,0,0,2018-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-25,Hertha,Nurnberg,1,0,10.0,12.0,3.0,3.0,8.0,4.0,H,1,1,1,2019,Bundesliga 2018 ,2018-08-25,0.0,0.0,0.0,0.0,0,0,2018-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-25,M'gladbach,Leverkusen,2,0,17.0,13.0,7.0,3.0,9.0,5.0,H,1,2,2,2019,Bundesliga 2018 ,2018-08-25,0.0,0.0,0.0,0.0,0,0,2018-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-25,Werder Bremen,Hannover,1,1,15.0,13.0,3.0,4.0,4.0,3.0,D,0,0,2,2019,Bundesliga 2018 ,2018-08-25,0.0,0.0,0.0,0.0,0,0,2018-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-25,Wolfsburg,Schalke 04,2,1,11.0,9.0,7.0,4.0,7.0,2.0,H,1,1,3,2019,Bundesliga 2018 ,2018-08-25,0.0,0.0,0.0,0.0,0,0,2018-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-26,Dortmund,RB Leipzig,4,1,10.0,10.0,5.0,7.0,7.0,9.0,H,1,3,5,2019,Bundesliga 2018 ,2018-08-26,0.0,0.0,0.0,0.0,0,0,2018-08-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-26,Mainz,Stuttgart,1,0,8.0,12.0,3.0,3.0,6.0,3.0,H,1,1,1,2019,Bundesliga 2018 ,2018-08-26,0.0,0.0,0.0,0.0,0,0,2018-08-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2018-08-31,Hannover,Dortmund,0,0,7.0,8.0,0.0,3.0,4.0,1.0,D,0,0,0,2019,Bundesliga 2018 ,2018-08-31,0.0,1.0,1.0,0.0,0,0,2018-08-31,0.0,4.0,1.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-01,Augsburg,M'gladbach,1,1,18.0,7.0,7.0,2.0,9.0,4.0,D,0,0,2,2019,Bundesliga 2018 ,2018-09-01,0.0,2.0,1.0,0.0,0,0,2018-09-01,0.0,2.0,0.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-01,Ein Frankfurt,Werder Bremen,1,2,5.0,11.0,1.0,6.0,8.0,3.0,A,2,-1,3,2019,Bundesliga 2018 ,2018-09-01,0.0,2.0,0.0,0.0,0,0,2018-09-01,0.0,1.0,1.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-01,Hoffenheim,Freiburg,3,1,20.0,9.0,7.0,4.0,6.0,4.0,H,1,2,4,2019,Bundesliga 2018 ,2018-09-01,0.0,1.0,3.0,0.0,0,0,2018-09-01,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
